"都道府県","学校名","種別","FAX番号","送信状況","備考"
"東京都","都立日比谷高等学校","公立","03-3597-8331","未送信",""
"東京都","都立西高等学校","公立","03-3247-1340","未送信",""
"東京都","都立国立高等学校","公立","042-573-9609","未送信",""
"東京都","都立戸山高等学校","公立","03-3204-1045","未送信",""
"東京都","都立青山高等学校","公立","03-3404-0182","未送信",""
"東京都","都立八王子東高等学校","公立","042-642-2641","未送信",""
"東京都","都立立川高等学校","公立","042-527-9906","未送信",""
"東京都","都立小山台高等学校","公立","03-3714-8163","未送信",""
"東京都","都立駒場高等学校","公立","03-3466-5240","未送信",""
"東京都","都立三田高等学校","公立","03-3453-2899","未送信",""
"東京都","都立多摩科学技術高等学校","公立","042-381-4169","未送信",""
"東京都","都立昭和高等学校","公立","042-546-0150","未送信",""
"東京都","都立町田高等学校","公立","042-724-1330","未送信",""
"東京都","都立武蔵野北高等学校","公立","0422-51-4164","未送信",""
"東京都","開成高等学校","私立","03-3822-4558","未送信",""
"東京都","麻布高等学校","私立","03-3444-2337","未送信",""
"東京都","渋谷教育学園渋谷高等学校","私立","03-3486-1033","未送信",""
"東京都","早稲田高等学校","私立","03-3202-7692","未送信",""
"東京都","青山学院高等部","私立","03-3409-5784","未送信",""
"東京都","法政大学高等学校","私立","0422-79-6260","未送信",""
"東京都","明治大学付属明治高等学校","私立","042-498-7800","未送信",""
"東京都","武蔵高等学校","私立","03-5984-3883","未送信",""
"東京都","豊島岡女子学園高等学校","私立","03-3983-5628","未送信",""
"東京都","芝高等学校","私立","03-3578-1212","未送信",""
"東京都","巣鴨高等学校","私立","03-3918-5305","未送信",""
"東京都","吉祥女子高等学校","私立","0422-22-9752","未送信",""
"東京都","中央大学附属高等学校","私立","042-383-4840","未送信",""
"東京都","広尾学園高等学校","私立","03-3444-7192","未送信",""
"東京都","鷗友学園女子高等学校","私立","03-3420-8782","未送信",""
"東京都","学習院高等科","私立","03-5992-1016","未送信",""
"東京都","白百合学園高等学校","私立","03-3234-6970","未送信",""
"東京都","明治大学付属中野高等学校","私立","03-3368-3113","未送信",""
"東京都","朋優学院高等学校","私立","03-3788-1190","未送信",""
"東京都","城北高等学校","私立","03-3956-9779","未送信",""
"東京都","桐朋高等学校","私立","042-574-9898","未送信",""
"東京都","日本大学豊山高等学校","私立","03-3943-1991","未送信",""
"東京都","東京農業大学第一高等学校","私立","03-3420-7199","未送信",""
"東京都","武蔵野大学附属千代田高等学院","私立","03-3264-4728","未送信",""
"東京都","筑波大学附属高等学校","国立","03-3943-0848","未送信",""
"東京都","東京学芸大学附属高等学校","国立","03-3421-5152","未送信",""
"東京都","開成中学校","私立","03-3822-4558","未送信",""
"東京都","麻布中学校","私立","03-3444-2337","未送信",""
